ISP_ASN, prefix, {geolocation}
CENTURYLINK_AS209, 63.84.114.0/24, {'63.84.114.50': {'city': 'Benton Harbor', 'state': 'Michigan'}, '63.84.114.150': {'city': 'Benton Harbor', 'state': 'Michigan'}}
CENTURYLINK_AS209, 75.171.65.0/24, {'75.171.65.50': {'city': None, 'state': None}, '75.171.65.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 208.131.59.0/24, {'208.131.59.50': {'city': 'Rowland Heights', 'state': 'California'}, '208.131.59.150': {'city': 'Rowland Heights', 'state': 'California'}}
CENTURYLINK_AS209, 75.171.68.0/24, {'75.171.68.50': {'city': None, 'state': None}, '75.171.68.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 209.142.80.0/22, {'209.142.80.100': {'city': 'Brooklyn', 'state': 'New York'}, '209.142.83.100': {'city': 'Brooklyn', 'state': 'New York'}}
FRONTIER_AS5650, 47.190.152.0/22, {'47.190.152.100': {'city': 'Flower Mound', 'state': 'Texas'}, '47.190.155.100': {'city': 'Flower Mound', 'state': 'Texas'}}
FRONTIER_AS5650, 172.95.192.0/19, {'172.95.192.100': {'city': None, 'state': None}, '172.95.207.100': {'city': None, 'state': None}, '172.95.222.100': {'city': None, 'state': None}}
FRONTIER_AS5650, 172.108.109.0/24, {'172.108.109.50': {'city': 'College Station', 'state': 'Texas'}, '172.108.109.150': {'city': 'College Station', 'state': 'Texas'}}
FRONTIER_AS5650, 47.207.0.0/16, {'47.207.0.100': {'city': 'Tampa', 'state': 'Florida'}, '47.207.120.100': {'city': None, 'state': 'Florida'}, '47.207.250.100': {'city': None, 'state': 'Florida'}}
FRONTIER_AS5650, 172.95.176.0/20, {'172.95.176.100': {'city': 'Indio', 'state': 'California'}, '172.95.182.100': {'city': 'Indio', 'state': 'California'}, '172.95.188.100': {'city': 'Indio', 'state': 'California'}}
FRONTIER_AS5650, 172.95.248.0/21, {'172.95.248.100': {'city': 'Gilroy', 'state': 'California'}, '172.95.251.100': {'city': 'Gilroy', 'state': 'California'}, '172.95.254.100': {'city': 'Gilroy', 'state': 'California'}}
FRONTIER_AS5650, 172.108.108.0/24, {'172.108.108.50': {'city': 'College Station', 'state': 'Texas'}, '172.108.108.150': {'city': 'College Station', 'state': 'Texas'}}
FRONTIER_AS5650, 172.109.96.0/21, {'172.109.96.100': {'city': None, 'state': None}, '172.109.99.100': {'city': None, 'state': None}, '172.109.102.100': {'city': None, 'state': None}}
FRONTIER_AS5650, 172.108.40.0/21, {'172.108.40.100': {'city': None, 'state': None}, '172.108.43.100': {'city': None, 'state': None}, '172.108.46.100': {'city': None, 'state': None}}
FRONTIER_AS5650, 172.108.36.0/22, {'172.108.36.100': {'city': None, 'state': None}, '172.108.39.100': {'city': None, 'state': None}}
FRONTIER_AS5650, 47.190.140.0/22, {'47.190.140.100': {'city': 'Keller', 'state': 'Texas'}, '47.190.143.100': {'city': 'Irving', 'state': 'Texas'}}
FRONTIER_AS5650, 172.108.124.0/24, {'172.108.124.50': {'city': 'Georgetown', 'state': 'Texas'}, '172.108.124.150': {'city': 'Georgetown', 'state': 'Texas'}}
FRONTIER_AS5650, 47.181.192.0/18, {'47.181.192.100': {'city': 'Newport Beach', 'state': 'California'}, '47.181.222.100': {'city': 'Westminster', 'state': 'California'}, '47.181.252.100': {'city': None, 'state': 'California'}}
FRONTIER_AS5650, 208.76.188.0/24, {'208.76.188.50': {'city': None, 'state': None}, '208.76.188.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 47.190.138.0/23, {'47.190.138.100': {'city': 'Frisco', 'state': 'Texas'}, '47.190.139.100': {'city': 'Frisco', 'state': 'Texas'}}
FRONTIER_AS5650, 47.181.128.0/18, {'47.181.128.100': {'city': 'Newbury Park', 'state': 'California'}, '47.181.158.100': {'city': 'Redlands', 'state': 'California'}, '47.181.188.100': {'city': 'Upland', 'state': 'California'}}
FRONTIER_AS5650, 47.190.144.0/21, {'47.190.144.100': {'city': 'Argyle', 'state': 'Texas'}, '47.190.147.100': {'city': 'Argyle', 'state': 'Texas'}, '47.190.150.100': {'city': 'Argyle', 'state': 'Texas'}}
FRONTIER_AS5650, 47.190.160.0/20, {'47.190.160.100': {'city': 'Flower Mound', 'state': 'Texas'}, '47.190.166.100': {'city': 'Flower Mound', 'state': 'Texas'}, '47.190.172.100': {'city': 'Flower Mound', 'state': 'Texas'}}
GOOGLE-FIBRE_AS16591, 136.50.96.0/20, {'136.50.96.100': {'city': 'San Antonio', 'state': 'Texas'}, '136.50.102.100': {'city': 'San Antonio', 'state': 'Texas'}, '136.50.108.100': {'city': 'San Antonio', 'state': 'Texas'}}
GOOGLE-FIBRE_AS16591, 136.53.0.0/20, {'136.53.0.100': {'city': 'Huntsville', 'state': 'Alabama'}, '136.53.6.100': {'city': 'Owens Cross Roads', 'state': 'Alabama'}, '136.53.12.100': {'city': 'Owens Cross Roads', 'state': 'Alabama'}}
WINDSTREAM_AS7029, 208.124.0.0/18, {'208.124.0.100': {'city': 'San Antonio', 'state': 'Texas'}, '208.124.30.100': {'city': 'San Antonio', 'state': 'Texas'}, '208.124.60.100': {'city': 'Kerrville', 'state': 'Texas'}}
WINDSTREAM_AS7029, 23.168.176.0/24, {'23.168.176.50': {'city': 'Virginia Beach', 'state': 'Virginia'}, '23.168.176.150': {'city': 'Virginia Beach', 'state': 'Virginia'}}
