ISP_ASN, prefix, {geolocation}
COMCAST_AS7922, 96.103.0.0/17, {'96.103.0.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.103.60.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.103.120.100': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 96.108.162.0/23, {'96.108.162.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.108.163.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.118.64.0/19, {'96.118.64.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '96.118.79.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '96.118.94.100': {'city': 'Hillsboro', 'state': 'Oregon'}}
COMCAST_AS7922, 69.139.236.0/22, {'69.139.236.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '69.139.239.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.113.30.0/24, {'96.113.30.50': {'city': 'Ashburn', 'state': 'Virginia'}, '96.113.30.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 96.113.112.0/24, {'96.113.112.50': {'city': 'Seattle', 'state': 'Washington'}, '96.113.112.150': {'city': 'Seattle', 'state': 'Washington'}}
COMCAST_AS7922, 162.150.18.0/24, {'162.150.18.50': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '162.150.18.150': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.112.160.0/22, {'96.112.160.100': {'city': 'Chicago', 'state': 'Illinois'}, '96.112.163.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.115.160.0/21, {'96.115.160.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '96.115.163.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '96.115.166.100': {'city': 'San Jose', 'state': 'California'}}
COMCAST_AS7922, 162.151.140.0/22, {'162.151.140.100': {'city': 'Denver', 'state': 'Colorado'}, '162.151.143.100': {'city': 'Denver', 'state': 'Colorado'}}
COMCAST_AS7922, 96.113.0.0/21, {'96.113.0.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '96.113.3.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '96.113.6.100': {'city': 'Hillsboro', 'state': 'Oregon'}}
COMCAST_AS7922, 162.148.108.0/23, {'162.148.108.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '162.148.109.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
